id,phrase,feature_1,feature_2,feature_3,sentiment
286,Episode II -- Attack of the Clones is a technological exercise that lacks juice and delight .,17.0,4.0,3.0,0
287,"Further sad evidence that Tom Tykwer , director of the resonant and sense-spinning Run Lola Run , has turned out to be a one-trick pony -- a maker of softheaded metaphysical claptrap .",33.0,6.0,,0
288,Adaptation is simply brilliant .,5.0,1.0,1.0,2
289,There are enough throwaway references to faith and rainbows to plant smile-button faces on that segment of the populace that made A Walk to Remember a niche hit .,29.0,4.0,2.0,2
290,"A dark-as-pitch comedy that frequently veers into corny sentimentality , probably would not improve much after a therapeutic zap of shock treatment .",23.0,1.0,4.0,0
291,An excellent sequel .,4.0,1.0,1.0,2
292,"There 's no doubting that this is a highly ambitious and personal project for Egoyan , but it 's also one that , next to his best work , feels clumsy and convoluted .",34.0,2.0,6.0,1
293,It shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there 's a little girl-on-girl action .,31.0,1.0,4.0,0
294,An improvement on the feeble examples of big-screen Poke-mania that have preceded it .,14.0,2.0,3.0,2
295,"Shame on writer\/director Vicente Aranda for making a florid biopic about mad queens , obsessive relationships , and rampant adultery so dull .",23.0,3.0,5.0,0
296,"Hatosy ... portrays young Brendan with his usual intelligence and subtlety , not to mention a convincing brogue .",19.0,2.0,5.0,2
297,"The director , with his fake backdrops and stately pacing , never settles on a consistent tone .",18.0,1.0,3.0,0
298,Both deserve better .,4.0,1.0,1.0,0
299,A film that should be relegated to a dark video store corner is somehow making its way instead to theaters .,21.0,,1.0,0
300,"This is unusual , food-for-thought cinema that 's as entertaining as it is instructive .",15.0,,5.0,2
301,"Rarely , a movie is more than a movie .",10.0,,2.0,2
302,"Think of it as Gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch .",24.0,,3.0,2
303,"The film has the high-buffed gloss and high-octane jolts you expect of De Palma , but what makes it transporting is that it 's also one of the smartest , most pleasurable expressions of pure movie love to come from an American director in years .",46.0,4.0,6.0,2
304,Combines a comically dismal social realism with a farcically bawdy fantasy of redemption and regeneration .,16.0,,1.0,2
305,Might be one of those vanity projects in which a renowned filmmaker attempts to show off his talent by surrounding himself with untalented people .,25.0,1.0,1.0,1
306,The warnings to resist temptation in this film ... are blunt and challenging and offer no easy rewards for staying clean .,,1.0,,1
307,"All very stylish and beautifully photographed , but far more trouble than it 's worth , with fantasy mixing with reality and actors playing more than one role just to add to the confusion .",35.0,1.0,4.0,1
308,"But even while his characters are acting horribly , he is always sympathetic .",14.0,1.0,2.0,2
309,"As with so many merchandised-to-the-max movies of this type , more time appears to have gone into recruiting the right bands for the playlist and the costuming of the stars than into the script , which has a handful of smart jokes and not much else .",47.0,1.0,,0
310,The story the movie tells is of Brian De Palma 's addiction to the junk-calorie suspense tropes that have all but ruined his career .,25.0,4.0,3.0,0
311,"With minimal imagination , you could restage the whole thing in your bathtub .",14.0,1.0,2.0,0
312,A comedy that swings and jostles to the rhythms of life .,12.0,1.0,1.0,2
313,"Freundlich 's made -LRB- Crudup -RRB- a suburban architect , and a cipher .",,2.0,7.0,1
314,"Falsehoods pile up , undermining the movie 's reality and stifling its creator 's comic voice .",17.0,,4.0,0
315,"Jagger , Stoppard and director Michael Apted ... deliver a riveting and surprisingly romantic ride .",16.0,4.0,5.0,2
316,This movie ... does n't deserve the energy it takes to describe how bad it is .,17.0,1.0,5.0,0
317,"An uplifting drama ... What Antwone Fisher is n't , however , is original .",15.0,4.0,7.0,1
318,A thought-provoking and often-funny drama about isolation .,8.0,1.0,3.0,2
319,A compelling story of musical passion against governmental odds .,10.0,1.0,,2
320,"A Jewish WW II doc that is n't trying simply to out-shock , out-outrage or out-depress its potential audience !",20.0,4.0,6.0,1
321,I loved this film .,5.0,1.0,1.0,2
322,Proves that some movie formulas do n't need messing with -- like the big-bug movie .,16.0,1.0,,1
323,on how men would act if they had periods,9.0,0.0,0.0,1
324,Frequent flurries of creative belly laughs and genuinely enthusiastic performances ... keep the movie slaloming through its hackneyed elements with enjoyable ease .,,1.0,4.0,2
325,"Been there , done that , liked it much better the first time around - when it was called The Professional .",22.0,3.0,4.0,0
326,... in the pile of useless actioners from MTV schmucks who do n't know how to tell a story for more than four minutes .,25.0,1.0,,0
327,"A gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative Hollywood practices .",31.0,2.0,5.0,2
328,"While there are times when the film 's reach exceeds its grasp , the production works more often than it does n't .",23.0,,4.0,2
329,"Triumph of Love is a very silly movie , but the silliness has a pedigree .",16.0,2.0,2.0,1
330,The end result is like cold porridge with only the odd enjoyably chewy lump .,,1.0,1.0,0
331,"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",32.0,3.0,12.0,2
332,"Unfortunately , it 's also not very good .",9.0,1.0,,0
333,Makes a joke out of car chases for an hour and then gives us half an hour of car chases .,21.0,1.0,1.0,0
334,Merry friggin ' Christmas !,5.0,2.0,2.0,1
335,A well-made but emotionally scattered film whose hero gives his heart only to the dog .,16.0,1.0,2.0,1
336,"Though filmed partly in Canada , Paid in Full has clever ways of capturing inner-city life during the Reagan years .",21.0,5.0,3.0,2
337,"The most audacious , outrageous , sexually explicit , psychologically probing , pure libido film of the year has arrived from Portugal .",23.0,2.0,5.0,2
338,"In many ways , reminiscent of 1992 's Unforgiven which also utilized the scintillating force of its actors to draw out the menace of its sparse dialogue .",28.0,2.0,,1
339,But you 'd never guess that from the performances .,10.0,1.0,2.0,1
340,"It takes a really long , slow and dreary time to dope out what TUCK EVERLASTING is about .",19.0,,2.0,0
341,"Screenwriter Chris ver Weil 's directing debut is good-natured and never dull , but its virtues are small and easily overshadowed by its predictability .",,3.0,4.0,1
342,"The movie itself is far from disappointing , offering an original take on courtroom movies , a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star Bruce Willis .",37.0,3.0,5.0,2
343,"A visionary marvel , but it 's lacking a depth in storytelling usually found in anime like this .",19.0,1.0,3.0,0
344,"A well-done film of a self-reflexive , philosophical nature .",10.0,1.0,,2
345,"It 's tough to watch , but it 's a fantastic movie .",,1.0,4.0,2
346,The unexplored story opportunities of `` Punch-Drunk Love '' may have worked against the maker 's minimalist intent but it is an interesting exercise by talented writer\/director Anderson .,29.0,4.0,,2
347,Foster breathes life into a roll that could have otherwise been bland and run of the mill .,18.0,1.0,1.0,2
348,"There 's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there 's nothing else happening .",30.0,,8.0,2
349,The thing about guys like Evans is this : You 're never quite sure where self-promotion ends and the truth begins .,22.0,3.0,4.0,0
350,a stereotype,2.0,0.0,0.0,0
351,"While some will object to the idea of a Vietnam picture with such a rah-rah , patriotic tone , Soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation .",41.0,3.0,5.0,0
352,"The smash 'em - up , crash 'em - up , shoot 'em - up ending comes out of nowhere substituting mayhem for suspense .",25.0,1.0,9.0,1
353,"A few energetic stunt sequences briefly enliven the film , but the wheezing terrorist subplot has n't the stamina for the 100-minute running time , and the protagonists ' bohemian boorishness mars the spirit of good clean fun .",39.0,,6.0,1
354,"Bill Morrison 's Decasia is uncompromising , difficult and unbearably beautiful .",,,,2
355,Gooding offers a desperately ingratiating performance .,7.0,1.0,,0
356,Breen 's script is sketchy with actorish notations on the margin of acting .,14.0,1.0,2.0,0
357,Robin Williams departs from his fun friendly demeanor in exchange for a darker unnerving role .,16.0,2.0,1.0,1
358,"It makes compelling , provocative and prescient viewing .",9.0,1.0,,2
359,"In The Pianist , Polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and he allows nothing to get in the way .",,4.0,4.0,2
360,"The filmmakers try to balance pointed , often incisive satire and unabashed sweetness , with results that are sometimes bracing , sometimes baffling and quite often , and in unexpected ways , touching .",,1.0,6.0,2
361,"Shattering , devastating documentary on two maladjusted teens in a downward narcotized spiral .",14.0,1.0,2.0,2
362,"Confessions is n't always coherent , but it 's sharply comic and surprisingly touching , so hold the gong .",20.0,,,2
363,A polished and vastly entertaining caper film that puts the sting back into the con .,16.0,1.0,1.0,2
364,Lame Sweet Home leaves no Southern stereotype unturned .,9.0,4.0,1.0,0
365,"is now stretched to barely feature length , with a little more attention paid to the animation .",18.0,0.0,2.0,1
366,"- West Coast rap wars , this modern mob music drama never fails to fascinate .",16.0,2.0,3.0,2
367,"Although the sequel has all the outward elements of the original , the first film 's lovely flakiness is gone , replaced by the forced funniness found in the dullest kiddie flicks .",33.0,1.0,,0
368,"Tunney , brimming with coltish , neurotic energy , holds the screen like a true star .",17.0,1.0,,2
369,This mess of a movie is nothing short of a travesty of a transvestite comedy .,16.0,1.0,1.0,0
370,It made me realize that we really have n't had a good cheesy B-movie playing in theaters since ... well ... since last week 's Reign of Fire .,,4.0,10.0,0
371,"There are problems with this film that even 3 Oscar winners ca n't overcome , but it 's a nice girl-buddy movie once it gets rock-n-rolling .",27.0,2.0,7.0,1
372,The film virtually chokes on its own self-consciousness .,9.0,1.0,,1
373,"Not about scares but a mood in which an ominous , pervasive , and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense .",30.0,1.0,,2
374,"According to the script , Grant and Bullock 's characters are made for each other .",,3.0,3.0,2
375,"Recoing 's fantastic performance does n't exactly reveal what makes Vincent tick , but perhaps any definitive explanation for it would have felt like a cheat .",27.0,2.0,4.0,1
